Source,Destination,Volume,ArbOutAdjDbv,EjectOffUm,RepRateOvrHz
A1,A1,100,0,0,0
B1,C1,100,0,0,0
C1,E1,100,0,0,0
D1,G1,100,0,0,0
E1,I1,100,0,0,0
F1,K1,100,0,0,0
G1,M1,100,0,0,0
H1,O1,100,0,0,0
H2,O3,100,0,0,0
G2,M3,100,0,0,0
F2,K3,100,0,0,0
E2,I3,100,0,0,0
D2,G3,100,0,0,0
C2,E3,100,0,0,0
B2,C3,100,0,0,0
A2,A3,100,0,0,0
A3,A5,100,0,0,0
B3,C5,100,0,0,0
C3,E5,100,0,0,0
D3,G5,100,0,0,0
E3,I5,100,0,0,0
F3,K5,100,0,0,0
G3,M5,100,0,0,0
H3,O5,100,0,0,0
H4,O7,100,0,0,0
G4,M7,100,0,0,0
F4,K7,100,0,0,0
E4,I7,100,0,0,0
D4,G7,100,0,0,0
C4,E7,100,0,0,0
B4,C7,100,0,0,0
A4,A7,100,0,0,0
A5,A9,100,0,0,0
B5,C9,100,0,0,0
C5,E9,100,0,0,0
D5,G9,100,0,0,0
E5,I9,100,0,0,0
F5,K9,100,0,0,0
G5,M9,100,0,0,0
H5,O9,100,0,0,0
H6,O11,100,0,0,0
G6,M11,100,0,0,0
F6,K11,100,0,0,0
E6,I11,100,0,0,0
D6,G11,100,0,0,0
C6,E11,100,0,0,0
B6,C11,100,0,0,0
A6,A11,100,0,0,0
A7,A13,100,0,0,0
B7,C13,100,0,0,0
C7,E13,100,0,0,0
D7,G13,100,0,0,0
E7,I13,100,0,0,0
F7,K13,100,0,0,0
G7,M13,100,0,0,0
H7,O13,100,0,0,0
H8,O15,100,0,0,0
G8,M15,100,0,0,0
F8,K15,100,0,0,0
E8,I15,100,0,0,0
D8,G15,100,0,0,0
C8,E15,100,0,0,0
B8,C15,100,0,0,0
A8,A15,100,0,0,0
A9,A17,100,0,0,0
B9,C17,100,0,0,0
C9,E17,100,0,0,0
D9,G17,100,0,0,0
E9,I17,100,0,0,0
F9,K17,100,0,0,0
G9,M17,100,0,0,0
H9,O17,100,0,0,0
H10,O19,100,0,0,0
G10,M19,100,0,0,0
F10,K19,100,0,0,0
E10,I19,100,0,0,0
D10,G19,100,0,0,0
C10,E19,100,0,0,0
B10,C19,100,0,0,0
A10,A19,100,0,0,0
A11,A21,100,0,0,0
B11,C21,100,0,0,0
C11,E21,100,0,0,0
D11,G21,100,0,0,0
E11,I21,100,0,0,0
F11,K21,100,0,0,0
G11,M21,100,0,0,0
H11,O21,100,0,0,0
H12,O23,100,0,0,0
G12,M23,100,0,0,0
F12,K23,100,0,0,0
E12,I23,100,0,0,0
D12,G23,100,0,0,0
C12,E23,100,0,0,0
B12,C23,100,0,0,0
A12,A23,100,0,0,0
